[ 1010895ms] [VERBOSE] [DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o @ http://localhost:3000/login:0
[ 1011012ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[ 1011146ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[ 2519599ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2522949ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2526310ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2529687ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2533059ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2540443ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2547814ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2555184ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2562556ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2569951ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2577347ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[ 2584791ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=x1r0bJfBsOgCKJGibCpyd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
